Type,Resistive Attack,DiffAttack
gentletap,-3.3341587,-5.838291
gentletap,-1.2360474,-2.0526624
gentletap,-2.4847722,-5.1494555
gentletap,-2.7509978,-4.981385
gentletap,-2.5608366,-4.9968214
gentletap,-2.338982,-4.6594625
gentletap,-1.7558212,-4.539474
gentletap,-2.1171274,-5.149114
gentletap,-1.4071925,-3.6826262
gentletap,-1.7684984,-4.808571
gentletap,-1.3754989,-4.462928
gentletap,-0.9254509,-2.2456646
gentletap,-1.5086117,-3.1256714
gentletap,-0.95714444,-2.436754
gentletap,-1.546644,-2.4059956
gentletap,-1.3247893,-2.7581973
gentletap,-1.56566,-2.814261
gentletap,-1.3247893,-2.1714356
gentletap,-1.56566,-3.030254
gentletap,-1.3754988,-3.3309858
gentletap,-1.331128,-2.5855043
gentletap,-2.6495786,-3.63483
gentletap,-0.8050155,-2.3412223
gentletap,-1.0015154,-1.6032926
gentletap,-1.2677408,-2.684978
gentletap,-1.0015154,-2.2685971
gentletap,-1.1029346,-2.3446054
gentletap,-1.4895955,-3.264896
gentletap,-1.4515634,-2.823754
gentletap,-1.5276278,-2.5463755
gentletap,-1.7114502,-2.4449024
hover,-0.012677431,-0.019607663
hover,-0.006338716,-0.014424026
hover,-0.006338716,-0.016734093
hover,-0.006338716,-0.056005552
hover,-0.006338716,-0.08026145
hover,-0.006338716,-0.057160594
hover,-0.012677431,-0.33031416
hover,-0.006338716,-0.01904419
hover,-0.012677431,-0.028848022
hover,-0.006338716,-0.031749666
hover,-0.025354803,-0.03690523
hover,-0.012677431,-0.032313168
hover,-0.006338716,-0.050230335
hover,-0.012677372,-0.036933273
hover,-0.012677431,-0.04501863
hover,-0.006338716,-0.0329047
hover,-0.012677372,-0.038088307
hover,-0.012677431,-0.024227872
hover,-0.006338716,-0.13108332
hover,-0.006338716,-0.05254042
hover,-0.006338656,-0.007493705
hover,-0.019016147,-0.04096198
hover,-0.006338716,-0.12184298
hover,-0.025354862,-0.078486815
